STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
2,20,4,13,94,17,24,1,2,0,16,6,0,9,0,1,1,1,2,99,2,1,2,1,0,0,0,1,1,0,17,24,17,33,17,55,0,0,0,0,1,4,0,20025,0,130,KRONOS DR,0000000,1
4,3,4,13,94,19,0,1,3,1,2,3,0,43,0,1,4,1,2,55,2,1,2,1,0,0,0,5,1,0,19,6,19,18,99,99,0,0,0,0,1,4,0,40207,3348,0,90,0000000,0
6,67,4,13,94,17,40,2,2,0,4,6,0,12,4,2,1,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,60929,0,1390,TWINCITIES,0000000,0
6,37,4,13,94,20,10,1,2,0,13,6,0,8,0,1,1,2,2,35,1,1,2,1,0,0,0,3,1,0,20,12,20,23,20,35,0,0,0,0,1,4,0,60930,0,1980,CENTINELA,0000000,1
6,67,4,13,94,22,5,1,3,0,13,6,0,8,0,1,1,1,4,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,60931,0,3150,FRUITRIDGE,0000000,1
6,75,4,13,94,23,14,1,3,0,13,6,0,8,0,2,1,2,3,35,1,1,2,1,2,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,60932,0,3290,GEARY ST,0000000,1
6,19,4,13,94,23,40,1,4,0,4,4,0,1,0,1,3,2,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,61109,0,0,JENSEN AVE,0000000,0
6,97,4,13,94,16,40,2,3,0,15,6,0,12,2,1,1,1,2,25,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,61418,0,3660,1ST ST E,0000000,0
12,9,4,13,94,23,35,1,2,9,5,4,0,8,0,1,1,2,2,50,1,1,2,2,40,3,0,3,1,0,23,35,23,37,99,99,0,0,0,0,1,4,0,120537,99999,2005,CR3,0000000,1
12,57,4,13,94,22,20,2,7,1,12,3,0,12,4,2,1,2,4,45,1,1,2,1,2,3,0,2,1,0,22,20,22,26,99,99,0,0,0,0,1,4,1,120563,99999,0,SR580,0000000,0
12,49,4,13,94,16,40,1,2,9,3,3,0,8,0,3,2,1,2,55,1,1,2,1,28,3,0,1,1,1,16,41,16,48,99,99,0,0,0,0,1,4,0,120576,99999,0,SR62,0000000,1
13,121,4,13,94,20,13,3,6,0,14,4,0,12,2,1,1,1,4,45,1,2,2,1,0,0,0,3,1,0,20,14,20,17,0,0,0,0,0,0,1,4,0,130290,42,0,1384,0000000,0
13,115,4,13,94,18,34,1,1,0,4,4,0,34,0,1,6,1,2,40,1,2,2,1,0,0,0,1,1,0,18,34,18,40,0,0,0,0,0,0,1,4,1,130388,3,0,635,0000000,0
17,49,4,13,94,17,42,2,2,0,4,2,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,17,45,17,99,99,99,0,0,0,0,1,4,0,170303,185,0,45,0000000,0
19,13,4,13,94,20,13,1,2,1,12,2,0,1,0,1,1,2,3,55,1,1,1,1,0,0,0,3,1,0,20,14,20,20,20,31,0,0,0,0,1,4,0,190093,18100,8790,218,0000000,0
20,171,4,13,94,18,15,2,2,1,2,2,0,12,4,2,1,1,2,45,1,1,2,1,28,3,0,1,1,0,18,4,18,10,18,17,0,0,0,0,1,4,0,200087,1078,4970,U83,0000000,0
21,173,4,13,94,20,3,1,1,0,15,4,0,42,0,1,6,1,2,25,1,2,2,1,40,3,0,2,1,0,20,10,20,12,20,20,0,0,0,0,1,4,0,210147,0,0,RICHMOND,0000000,0
22,19,4,13,94,21,50,3,5,0,3,3,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,3,1,0,21,57,22,8,99,99,0,0,0,0,2,4,1,220142,9,0,660,0000000,0
22,121,4,13,94,20,0,2,2,0,4,3,0,12,2,1,1,1,2,45,1,1,1,1,0,0,0,2,1,0,20,0,20,21,99,99,0,0,0,0,1,4,1,220143,231,0,76,0000000,0
24,5,4,13,94,17,31,2,4,0,3,4,0,12,2,1,1,4,4,55,1,1,2,2,0,0,0,1,3,0,17,29,17,34,99,99,0,0,0,0,3,4,0,240140,1115,0,140,0000000,0
26,115,4,13,94,22,19,1,1,0,4,4,0,34,0,1,6,1,2,55,1,1,2,2,0,0,0,3,2,0,22,21,22,35,0,0,0,0,0,0,1,4,1,261137,94,0,LEWIS AVE,0000000,0
28,79,4,13,94,20,21,1,1,0,6,6,0,31,0,4,2,1,2,50,2,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,280349,31,0,old cantom,0000000,0
28,59,4,13,94,18,12,1,1,0,16,6,0,21,0,1,5,1,2,45,1,1,2,1,0,0,0,1,1,0,18,23,18,34,18,52,0,0,0,0,1,4,1,280554,1,0,FORTS LAKE,0000000,0
29,109,4,13,94,19,50,1,2,0,4,3,0,32,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,20,0,20,23,20,45,0,0,0,0,1,4,1,290198,124,0,RTM,0000000,0
29,141,4,13,94,21,15,2,2,0,5,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,2,1,0,21,26,21,45,0,0,0,0,0,0,1,4,1,290199,130,0,RTT,0000000,0
29,510,4,13,94,19,27,2,3,0,13,6,0,12,4,2,1,2,2,35,1,1,2,1,20,3,0,3,1,0,19,27,0,0,0,0,0,0,0,0,1,4,0,290255,0,7080,JEFFERSON,0000000,0
34,23,4,13,94,22,33,2,3,1,12,8,0,8,0,1,1,3,6,45,2,3,2,2,0,0,0,3,2,0,99,99,99,99,99,99,0,0,0,0,1,4,0,340165,1269,2970,GSP444,0000000,2
36,47,4,13,94,21,0,2,4,0,13,6,0,12,4,2,1,2,3,30,1,1,2,2,3,3,1,3,2,0,21,16,21,19,21,46,0,0,0,0,1,4,0,360309,0,4170,OCEAN PKWY,0000000,0
37,25,4,13,94,16,37,2,3,0,14,3,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,16,44,99,99,0,0,0,0,1,4,0,370277,99999,1040,NC136,0000000,0
41,47,4,13,94,21,57,1,1,0,16,6,0,42,0,1,6,1,2,25,1,2,4,1,0,0,0,2,1,0,21,57,22,5,0,0,0,0,0,0,1,4,0,410116,0,0,LONEOAKRD,0000000,0
45,75,4,13,94,18,47,1,3,0,6,4,0,8,0,1,1,1,2,30,1,2,1,1,0,0,0,1,1,0,18,52,19,5,99,99,0,0,0,0,1,4,1,450178,0,1870,713,0000000,2
47,17,4,13,94,20,45,1,1,0,4,3,0,1,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,21,0,21,7,0,0,0,0,0,0,1,4,0,470237,82,0,SR105,0000000,0
48,199,4,13,94,23,50,1,5,0,6,4,0,5,0,1,1,1,2,35,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,480676,0,0,batsnprari,0000000,0
48,201,4,13,94,19,58,2,6,0,16,5,0,12,4,2,1,1,2,30,1,1,1,1,20,3,0,3,1,0,20,12,20,22,21,0,0,0,0,0,3,4,0,480678,0,3280,japonica,0000000,2
48,451,4,13,94,20,30,3,10,0,16,5,0,12,5,1,1,1,4,45,1,1,2,1,0,0,0,5,1,0,20,36,20,39,99,99,0,0,0,0,1,4,0,480682,0,6080,w19th,0000000,0
