STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10189,1,1,0,0,0,1,1,7,0,13,4,2011,4,22,52,0,4,4,1064,,0,33.07198889,-87.129500000,0,42,0,0,1,1,4,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
1,10771,2,2,0,0,0,2,2,73,350,13,4,2011,4,16,53,1,11,1,I-459,,279,33.44085278,-86.731638890,0,12,7,0,1,1,1,0,1,1,0,1,0,0000000,99,99,17,2,99,99,0,0,0,1,0
6,60803,1,1,0,1,1,2,2,23,1220,13,4,2011,4,21,17,0,13,6,BROADWAY ST,,0,40.78845833,-124.180105560,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,62558,2,2,0,1,1,1,1,95,4020,13,4,2011,4,20,38,0,14,6,TUOLUMNE ST,,0,38.13658333,-122.247947220,0,12,7,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,120456,1,1,0,0,0,1,1,99,0,13,4,2011,4,18,8,0,13,3,SR-809,,99998,26.62958889,-80.113008330,0,33,0,0,1,1,3,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,120531,1,1,0,0,0,1,1,77,0,13,4,2011,4,20,5,0,6,4,CR-2224,,0,30.36800000,-84.768166670,0,1,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121869,2,2,0,0,0,3,3,86,2441,13,4,2011,4,21,1,1,13,2,US-1,SW 183 STREET,99998,25.60065000,-80.353069440,0,12,6,0,2,3,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
17,170154,1,1,0,0,0,1,1,113,0,13,4,2011,4,16,21,0,4,3,SR-165,,223,40.58772778,-88.524605560,0,1,0,0,1,1,4,0,1,1,0,1,0,0000000,16,21,99,99,99,99,0,0,0,1,0
17,170232,1,1,0,1,1,1,1,31,9170,13,4,2011,4,20,24,1,13,2,US-12,CANTERBURY,565,41.85583333,-87.882091670,0,8,0,0,2,2,1,0,5,1,0,1,0,0000000,20,26,99,99,88,88,0,0,0,1,0
18,180159,1,1,0,1,1,1,1,97,2210,13,4,2011,4,18,23,0,6,4,WASHINGTON ST,,0,39.76659722,-86.193302780,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,18,24,18,26,99,99,0,0,0,1,0
20,200101,1,1,0,0,0,1,1,5,0,13,4,2011,4,20,10,0,6,4,SHERMAN,244TH,0,39.49490000,-95.097141670,0,34,0,0,1,1,4,0,5,1,0,1,0,0000000,8,20,8,28,88,88,0,0,0,1,0
20,200102,2,2,0,0,0,2,2,149,0,13,4,2011,4,20,33,0,2,2,US-24,FLUSH RD,3236,39.20126389,-96.440563890,0,12,6,0,2,2,1,0,2,1,0,1,0,0000000,20,41,21,15,22,1,0,0,0,1,0
21,210152,1,1,0,0,0,1,1,173,0,13,4,2011,4,17,36,0,4,2,US-60,,25,38.04408611,-83.993183330,0,35,0,0,1,1,4,0,1,1,0,1,0,0000000,17,36,17,44,18,9,0,0,0,1,1
22,220361,2,2,0,0,0,3,3,17,0,13,4,2011,4,17,52,1,13,3,SR-526,,150,32.43340000,-93.708800000,0,12,6,0,8,1,1,0,1,1,0,1,0,0000000,17,53,17,56,18,21,0,0,0,1,0
24,240083,3,3,0,0,0,4,4,9,0,13,4,2011,4,16,30,1,2,3,SR-2,SR-264,146,38.49995278,-76.537627780,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,16,28,16,32,99,99,0,0,0,2,0
27,270057,2,2,0,0,0,3,3,139,5770,13,4,2011,4,17,32,0,14,4,MYSTIC LAKE 04 70 83,SIOUX TRAIL NW,9,44.73705000,-93.470533330,3,12,6,0,2,3,1,0,1,10,0,10,0,0000000,17,32,17,36,18,10,0,0,0,1,0
28,280152,1,1,0,0,0,1,1,75,0,13,4,2011,4,21,35,0,16,6,POPLAR SPRINGS RD,,0,32.38405556,-88.704772220,0,35,0,0,1,1,6,0,3,1,0,1,0,0000000,21,37,22,0,22,40,0,0,0,1,1
34,340161,1,1,0,1,1,1,1,7,1710,13,4,2011,4,22,3,1,13,2,US-30,OAK AVE,134,39.81339444,-74.987058330,0,8,0,0,2,3,1,0,3,1,0,1,0,0000000,22,4,22,10,22,40,0,0,0,1,0
34,340213,1,1,0,0,0,1,1,23,3160,13,4,2011,4,16,21,0,16,6,OAK TREE AVENUE,,0,40.57851389,-74.397052780,0,33,0,0,1,1,4,0,1,1,0,1,0,0000000,16,29,16,37,17,3,0,0,0,1,0
36,360405,1,1,0,1,1,2,2,81,4170,13,4,2011,4,18,20,0,16,6,145TH AVE,243RD ST,0,40.65970833,-73.739841670,0,8,0,0,3,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
37,370238,2,2,0,0,0,2,2,49,0,13,4,2011,4,16,41,1,2,2,US-70,RP-1176,99999,34.95617500,-76.950022220,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
40,400124,3,3,0,0,0,3,3,83,0,13,4,2011,4,16,48,0,4,3,SR-74,FORREST HILLS,40,35.78365278,-97.584877780,0,12,1,0,2,2,1,0,1,1,0,1,0,0000000,16,57,17,11,17,51,0,0,0,1,0
40,400212,2,2,0,0,0,2,2,143,590,13,4,2011,4,20,43,0,16,6,W WASHINGTON ST,SOUTH ELM PL,0,36.03191944,-95.797488890,0,12,6,0,2,2,1,0,3,1,0,1,0,0000000,20,44,20,46,21,17,0,0,0,1,0
48,480773,1,1,0,0,0,1,1,113,1730,13,4,2011,4,19,27,0,16,5,CHEYENNE,,0,32.74625000,-96.639900000,0,32,0,0,1,1,4,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
