STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
1,10189,1,1,1,0,7,13,4,22,52,4,42,0,0,12,12013,4,1998,P,FORD,ESS,4D,98,17,2468,,0,984,,G,,F,4,122,,14R185,,,,,,,0,0,0,0,2,2,0,47,1,1,4,11,7,0,1,1,3,0,9,9,2,1,0,9,8,2,1,1,1,321,300,167,0,7,14,4,2011,1,50,150,2,58,0,0,0,************,0,7,1,0
1,10771,2,1,1,0,73,13,4,16,53,11,12,7,0,6,6054,6,2007,P,CHRY,PIF,UT,7,17,4388,,0,1163,,G,,F,6,241,,17R235,,,,,,,0,0,0,0,2,98,0,42,1,1,3,11,7,0,9,0,0,0,0,9,2,1,0,1,8,2,1,0,0,997,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
1,10771,2,2,1,0,73,13,4,16,53,11,12,7,0,37,37402,14,1998,P,HOND,CRV,UT,98,17,3146,,0,1032,,G,,F,4,120,,15R205,,,,,,,0,0,0,1,8,98,0,58,2,1,4,11,3,0,9,1,9,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,7,13,4,2011,16,53,1653,0,0,0,0,0,************,0,7,2,0
6,60803,1,0,1,1,23,13,4,21,17,13,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,5,4,0,96,8,97,8,0,0,9,9,2,1,37,9,8,2,1,0,0,1,0,0,5,0,13,4,2011,23,36,2336,2,19,0,0,0,************,0,7,1,11
6,60803,1,1,1,0,23,13,4,21,17,13,8,0,0,12,12481,31,1970,T,FORD,F25,PK,70,11,,2,1590,1150,COF,G,,,8,401,,,C,,,,,42,0,0,0,0,12,12,0,21,1,1,0,11,7,0,0,0,0,0,0,4,2,1,0,8,8,2,1,0,0,1,0,0,2,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
6,60803,1,1,2,0,23,13,4,21,17,13,8,0,0,12,12481,31,1970,T,FORD,F25,PK,70,11,,2,1590,1150,COF,G,,,8,401,,,C,,,,,42,0,0,0,0,12,12,0,23,2,2,0,13,7,0,0,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,2,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
6,62558,2,0,1,1,95,13,4,20,38,14,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,5,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,5,0,13,4,2011,21,35,2135,0,57,0,0,0,************,0,7,2,11
6,62558,2,1,1,0,95,13,4,20,38,14,12,7,0,20,20481,31,1987,T,CHEV,R20,PK,87,17,,2,0,1315,R20,G,,,8,350,,,C,3820,05,,,42,0,0,0,0,1,1,0,44,2,1,0,11,99,0,0,0,0,0,1,5,2,1,97,1,8,9,9,0,0,999,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,120456,1,1,1,0,99,13,4,18,8,13,33,0,0,53,53705,80,2009,M,SUZI,G60,RC,9,17,,,,,,,599,,4,,4,,,,,354,,,0,0,0,0,99,2,0,28,1,1,4,11,17,0,0,8,0,0,0,9,2,1,17,1,1,2,1,1,0,600,155,0,0,7,13,4,2011,18,8,1808,0,0,0,0,0,************,0,5,1,0
12,120531,1,1,1,0,77,13,4,20,5,6,1,0,0,12,12401,14,1998,P,FORD,EPR,UT,98,17,3911,,0,1115,,G,,F,6,245,,15R225,,,,,,,0,0,0,2,0,0,0,16,2,1,4,11,7,0,20,1,9,0,0,9,2,1,0,0,8,2,1,0,0,1,0,0,0,7,13,4,2011,20,28,2028,0,23,0,0,0,************,0,7,1,0
12,121869,2,1,1,0,86,13,4,21,1,13,12,6,0,49,49045,4,2002,P,TOYT,ECH,4D,2,17,2055,,0,934,,G,,F,4,091,,14R175,,,,,,,0,0,0,0,3,81,0,28,2,1,1,11,3,0,98,0,0,0,0,9,2,1,0,8,8,2,1,0,0,1,0,0,1,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121869,2,1,2,0,86,13,4,21,1,13,12,6,0,49,49045,4,2002,P,TOYT,ECH,4D,2,17,2055,,0,934,,G,,F,4,091,,14R175,,,,,,,0,0,0,0,3,81,0,27,2,2,3,22,3,0,98,0,0,0,0,9,0,0,96,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121869,2,2,1,0,86,13,4,21,1,13,12,6,0,53,53706,80,2009,M,SUZI,XR1,RC,9,17,,,,,,,999,,4,,4,,,,,448,,,0,0,0,0,12,12,0,37,1,1,4,11,5,0,0,8,0,0,9,9,2,1,21,8,8,2,1,0,0,996,0,0,5,0,29,4,2011,9,30,930,372,29,0,0,0,************,0,3,1,0
17,170154,1,1,1,0,113,13,4,16,21,4,1,0,0,72,72706,80,2001,M,HD,FHT,RS,1,17,,,,,,,1450,,2,,4,,,,,758,,,0,0,0,0,0,0,0,66,1,1,4,11,17,0,0,8,0,0,0,9,2,1,0,8,8,2,1,0,0,1,0,0,5,0,13,4,2011,17,7,1707,0,46,0,0,0,************,0,7,1,0
17,170232,1,0,1,1,31,13,4,20,24,13,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,1,5,4,0,96,8,97,8,0,0,1,9,2,1,15,8,8,2,1,0,0,1,0,0,0,7,13,4,2011,20,49,2049,0,25,0,0,0,************,0,7,1,1
17,170232,1,1,1,0,31,13,4,20,24,13,8,0,0,42,42048,4,1997,P,MERZ,E32,4D,97,17,3485,,0,1115,,G,,F,6,195,,16R215,,,,,,,0,0,0,0,12,12,0,60,1,1,0,11,99,0,20,0,0,0,9,9,2,1,0,8,8,2,1,0,0,998,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
18,180159,1,0,1,1,97,13,4,18,23,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,5,4,0,96,8,97,8,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,5,0,14,4,2011,12,4,1204,17,41,0,0,0,************,0,7,1,11
18,180159,1,1,1,0,97,13,4,18,23,6,8,0,0,20,20032,4,1997,P,GEO,GEP,4D,97,17,2360,,0,971,,G,,F,4,097,,14R175,,,,,,,0,0,0,0,1,1,0,25,2,1,0,11,3,0,20,0,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
20,200101,1,1,1,0,5,13,4,20,10,6,34,0,0,73,73705,80,2003,M,KAWK,Z3B,RC,3,17,,,,,,,636,,4,,4,,,,,377,,,0,0,0,0,12,12,0,16,1,1,4,11,16,0,0,8,0,0,0,5,0,0,96,9,8,0,0,0,0,0,0,0,0,7,13,4,2011,20,12,2012,0,2,0,0,0,************,0,7,1,0
