STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
2,185,4,20,93,22,20,1,2,5,6,5,0,8,0,1,1,1,2,25,1,1,2,3,0,0,2,5,1,0,22,24,22,26,22,30,0,0,0,0,1,3,0,20021,0,237,OGROOK STR,0000000,1
4,13,4,20,93,23,6,3,3,5,16,6,0,12,4,2,1,2,2,45,1,1,2,1,20,3,0,3,1,0,23,9,23,12,99,99,0,0,0,0,1,3,0,40181,0,490,48THST,0000000,0
6,37,4,20,93,21,10,1,2,3,13,6,0,9,0,1,1,2,2,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,99,99,99,1,3,1,60859,0,4190,SLAUSON AV,0000000,1
6,29,4,20,93,22,5,1,8,5,6,4,0,1,0,1,2,1,2,55,2,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,2,3,1,60860,0,0,SILVRQUEEN,0000000,0
6,37,4,20,93,22,31,2,3,3,13,6,0,13,2,3,1,2,2,40,1,1,2,1,20,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60861,0,3105,SANGABRIEL,0000000,0
6,73,4,20,93,18,35,3,4,3,13,6,0,12,4,2,1,2,2,35,1,1,2,1,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60905,0,3260,CLRMNTMESA,0000000,0
6,19,4,20,93,19,21,1,2,3,15,6,0,8,0,1,1,2,2,40,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60906,0,1370,MILLBROOK,0000000,1
6,37,4,20,93,21,5,1,3,3,13,6,0,8,0,3,1,3,3,35,1,1,2,1,0,0,0,3,1,0,99,99,99,99,0,0,0,0,0,0,1,3,0,60907,0,1980,HUNTINGTON,0000000,2
6,1,4,20,93,17,16,1,1,3,14,6,0,42,0,1,6,3,2,40,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61088,0,1364,GRIMMER BL,0000000,0
6,1,4,20,93,20,15,1,2,3,14,6,0,8,0,1,1,1,4,30,1,1,2,1,0,0,2,3,1,0,99,99,99,99,20,47,0,0,0,0,1,3,0,61183,0,2480,MACARTHUR,0000000,1
6,81,4,20,93,23,15,1,1,2,12,2,0,33,0,3,3,3,4,45,1,1,2,1,20,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,61661,232,463,101,0000000,0
8,3,4,20,93,21,45,1,2,5,5,4,0,38,0,1,6,1,2,45,2,1,2,1,0,0,0,2,1,0,23,39,23,42,0,2,0,0,0,0,1,3,1,80110,0,0,6S,0000000,0
9,5,4,20,93,16,50,1,1,9,4,3,0,24,0,1,4,1,2,50,2,1,2,1,0,0,0,1,1,0,16,47,16,58,17,46,0,0,0,0,1,3,0,90054,46,350,254,0000000,0
12,73,4,20,93,19,32,2,3,2,12,2,0,12,4,2,1,2,4,45,1,2,2,1,4,3,0,1,1,0,19,32,19,39,99,99,0,0,0,0,1,3,0,120583,99999,2940,NMONROEST,0000000,0
13,313,4,20,93,22,10,2,2,1,1,1,0,12,5,1,1,3,3,65,1,2,2,2,0,0,1,2,2,0,22,13,22,20,0,0,0,0,0,0,1,3,0,130334,3385,0,I75,0000000,0
17,31,4,20,93,22,5,2,6,5,16,6,0,12,4,2,1,1,2,30,1,1,2,1,3,3,0,3,1,0,22,8,22,12,23,0,0,0,0,0,1,3,0,170264,0,1670,HOMAN AVE,0000000,0
24,33,4,20,93,19,55,2,2,5,16,3,0,12,2,1,1,4,2,40,1,1,1,1,0,0,0,1,1,0,19,55,19,59,99,99,0,0,0,0,1,3,0,240126,26,0,953,0000000,0
25,25,4,20,93,17,45,1,1,5,16,6,0,30,0,1,6,1,2,30,1,1,2,1,0,0,0,1,1,0,18,2,18,2,18,4,0,0,0,0,1,3,0,250158,0,120,Wyman St,0000000,0
27,103,4,20,93,17,15,1,1,4,4,4,0,27,0,1,4,1,2,55,2,2,2,1,0,0,0,1,1,0,17,16,17,26,17,46,0,0,0,0,1,3,0,270083,365,0,5,0000000,0
28,73,4,20,93,18,44,1,1,1,1,1,0,42,0,1,6,2,4,65,1,1,2,2,0,0,0,1,2,0,18,59,19,14,19,32,0,0,0,0,1,3,0,280326,29,0,I59,0000000,0
32,3,4,20,93,22,34,2,4,3,14,6,0,8,0,2,1,2,3,45,1,1,2,1,0,0,0,3,1,0,22,33,22,44,22,52,0,0,0,0,1,3,0,320050,0,0,CHARLESTON,0000000,1
33,17,4,20,93,18,10,2,3,5,5,3,0,12,4,4,1,1,2,40,2,1,2,1,0,0,0,1,1,0,18,10,18,21,18,58,0,0,0,0,1,3,0,330021,99999,342,RT 125,0000000,0
35,13,4,20,93,21,30,1,3,5,16,6,0,8,0,1,1,1,2,35,1,1,2,1,0,0,0,2,1,0,21,42,21,54,22,19,0,0,0,0,1,3,0,350093,0,470,MOONGATE,0000000,1
37,81,4,20,93,23,45,2,3,1,11,1,0,13,2,1,1,2,2,55,1,1,1,1,0,0,0,2,1,0,99,99,0,5,99,99,0,0,0,0,2,3,1,370307,2116,0,I40,0000000,0
37,141,4,20,93,18,20,1,3,5,6,4,0,8,0,4,2,1,2,55,2,1,2,1,0,0,0,5,1,0,99,99,18,32,99,99,0,0,0,0,1,3,0,370308,99999,0,RP1340,0000000,2
41,49,4,20,93,19,45,1,3,1,1,1,0,8,0,1,1,2,2,55,1,1,1,1,0,0,0,1,1,0,19,49,19,51,0,0,0,0,0,0,1,3,0,410118,1635,200,I84,0000000,1
45,29,4,20,93,20,37,1,3,5,15,3,0,14,0,1,6,1,2,25,1,1,1,1,0,0,0,2,1,0,20,40,20,48,99,99,0,0,0,0,2,3,1,450216,0,2720,152,0000000,2
48,85,4,20,93,22,45,1,2,5,16,5,0,32,0,1,4,1,2,35,2,1,2,1,40,3,0,2,1,0,22,51,22,58,23,53,0,0,0,0,1,3,1,480707,0,5390,JUPITERRD,0000000,0
48,403,4,20,93,20,5,2,2,2,3,3,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,5,1,0,20,10,20,25,0,0,0,0,0,0,1,3,1,480709,65,0,21,0000000,0
55,73,4,20,93,21,59,1,1,4,4,4,0,30,0,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,22,3,22,13,22,55,0,0,0,0,1,3,1,550146,0,0,N,0000000,0
