STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,YEAR,TWAY_ID,RAIL,PEDS
1,81,4,20,17,0,1,2,9,99,4,0,8,0,1,6,1,2,45,1,1,2,1,0,0,2,2,1,0,99,99,17,49,99,99,0,0,0,0,1,2,0,10250,0,0,1998,1230,0000000,1
4,19,4,20,19,34,2,5,0,14,4,0,12,4,2,1,1,2,45,1,1,2,1,20,3,0,2,1,0,19,32,19,38,99,99,0,0,0,0,1,2,0,40229,0,0,1998,LA CHOLLA BLVD,0000000,0
6,75,4,20,17,33,1,2,0,13,6,0,8,0,1,3,2,1,25,1,1,2,1,8,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60612,0,3290,1998,MARKET ST,0000000,1
6,37,4,20,20,50,1,2,0,6,4,0,1,0,1,4,1,2,25,1,2,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,60613,0,1980,1998,FLAGMOOR PLACE,0000000,0
6,73,4,20,19,0,1,3,0,16,6,0,30,0,1,4,1,2,40,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61003,0,3375,1998,BARHAM DRIVE,0000000,0
6,37,4,20,17,45,1,2,0,14,6,0,8,0,1,1,1,2,25,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61193,0,1980,1998,WELLS DRIVE,0000000,1
12,79,4,20,19,20,1,3,0,9,4,0,1,0,1,2,1,2,55,1,1,2,1,0,0,0,1,1,0,19,23,19,31,99,99,0,0,0,0,1,2,1,120637,99999,0,1998,CR-150,0000000,0
12,29,4,20,22,5,1,1,0,6,8,0,42,0,3,6,1,2,35,1,1,2,1,20,3,0,2,1,0,22,11,22,15,99,99,0,0,0,0,1,2,1,120645,99999,0,1998,KATE GREEN ROAD,0000000,0
13,321,4,20,16,44,2,2,0,3,2,0,12,4,2,1,1,2,55,1,2,2,1,20,3,0,1,1,0,16,44,16,48,17,13,0,0,0,0,1,2,0,130353,179,0,1998,US-SR33,0000000,0
20,147,4,20,19,45,1,1,0,4,3,0,37,0,1,4,1,2,65,1,2,2,1,28,3,0,1,1,0,19,52,20,7,20,23,0,0,0,0,1,2,1,200117,665,0,1998,SR-9,0000000,0
22,61,4,20,21,10,1,2,0,6,4,0,1,0,1,4,1,2,0,1,1,2,1,0,0,0,2,1,0,21,24,21,40,99,99,0,0,0,0,1,2,0,220145,0,0,1998,NUNN ROAD,0000000,0
24,21,4,20,16,25,2,3,0,16,4,0,12,2,2,1,1,2,30,1,2,2,1,20,3,0,1,1,0,16,30,16,31,99,99,0,0,0,0,1,2,0,240179,8,0,1998,CO-146,0000000,0
26,65,4,20,18,11,1,3,0,15,6,0,19,0,1,6,1,4,30,1,9,2,1,0,0,0,1,1,0,18,10,18,14,99,99,0,0,0,0,2,2,1,260333,57,2700,1998,PENNSYLVANIA AVE,0000000,2
29,187,4,20,16,40,2,2,0,4,3,0,12,4,2,1,1,2,55,1,2,2,2,0,0,0,1,1,0,16,40,16,47,18,3,0,0,0,0,1,2,0,290271,37,0,1998,SR-00,0000000,0
34,17,4,20,22,46,2,3,1,13,2,0,8,0,2,1,1,4,40,1,1,2,1,3,3,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340153,594,2205,1998,US-1,0000000,1
34,3,4,20,21,31,1,1,0,14,4,0,10,0,6,1,1,2,35,2,1,8,1,61,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340171,0,2000,1998,2,263016X,0
35,31,4,20,23,20,1,12,1,2,2,0,1,0,13,8,3,1,55,2,2,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,350103,72,0,1998,US-666,0000000,0
36,65,4,20,23,1,1,1,0,6,3,0,35,0,2,6,1,2,40,1,1,2,1,0,0,0,3,1,0,23,3,23,9,23,30,0,0,0,0,1,2,0,360382,7,4080,1998,SR-12B,0000000,0
37,145,4,20,23,30,1,1,0,6,4,0,34,0,1,2,1,2,55,2,2,2,1,0,0,0,2,1,0,23,53,0,5,0,57,0,0,0,0,1,2,0,370338,99999,0,1998,RP-1102,0000000,0
39,119,4,20,23,50,2,3,0,4,6,0,42,0,2,5,1,2,25,1,1,9,1,20,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,390258,0,6515,1998,5TH               ST,0000000,0
39,35,4,20,19,42,1,2,0,15,6,0,8,0,1,1,1,2,35,1,1,9,1,0,0,0,1,1,0,19,42,19,45,0,0,0,0,0,0,1,2,0,390280,0,1020,1998,AKINS             RO,0000000,1
42,63,4,20,21,25,1,2,0,4,3,0,32,0,2,6,1,2,55,2,4,2,1,0,0,0,2,1,0,21,27,21,44,22,37,0,0,0,0,1,2,0,420430,195,0,1998,SR-403,0000000,0
45,51,4,20,22,0,1,1,1,2,2,0,34,0,1,6,1,2,55,1,2,2,1,0,0,0,3,1,0,99,99,22,15,99,99,0,0,0,0,1,2,0,450213,8,0,1998,US-378,0000000,0
47,117,4,20,17,50,2,4,1,1,1,0,12,1,1,1,2,2,70,1,2,2,1,0,0,0,1,1,0,17,55,18,7,99,99,0,0,0,0,1,2,0,470231,7,0,1998,I-65,0000000,0
48,113,4,20,23,12,1,1,0,16,5,0,38,0,1,4,1,2,30,1,1,2,2,0,0,0,3,2,0,23,13,23,15,0,0,0,0,0,0,1,2,0,480831,0,3880,1998,ELMST,0000000,0
48,401,4,20,21,50,1,1,0,6,5,0,1,0,1,4,1,2,30,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,480833,0,4895,1998,HARGISST,0000000,0
51,87,4,20,18,9,2,3,1,14,2,0,12,4,2,1,3,7,45,1,1,2,1,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,510216,1308,0,1998,US-33,0000000,0
53,47,4,20,23,45,2,2,1,2,2,0,12,4,1,1,1,2,60,1,1,2,1,0,0,0,2,1,0,23,53,0,6,0,24,0,19,0,0,1,2,1,530148,2569,0,1998,US-97,0000000,0
54,25,4,20,22,30,1,4,1,2,2,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,22,35,22,45,23,18,0,0,0,0,1,2,0,540081,77,0,1998,US-60,0000000,2
