STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,LATITUDE,LONGITUD
1,55,4,20,17,14,2,4,0,1,13,2,0,12,1,1,1,2,3,45,1,1,2,1,0,0,0,1,1,0,99,99,17,15,99,99,0,0,0,0,1,3,0,10240,1280,99999,1999,US-SR1,0000000,88888888,888888888
5,119,4,20,23,10,2,2,0,0,16,6,0,12,2,1,1,1,2,40,1,1,2,1,0,0,0,2,1,0,23,12,23,20,99,99,0,0,0,0,1,3,1,50152,2320,0,1999,ROOSEVELT RD.,0000000,88888888,888888888
6,37,4,20,18,5,2,4,0,0,13,6,0,12,4,1,1,2,2,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60582,1980,0,1999,AVALON BLVD,0000000,88888888,888888888
6,73,4,20,22,37,1,2,0,0,14,6,0,43,0,1,6,2,2,40,2,2,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60583,3260,0,1999,CARMEL MOUNTAIN ROAD,0000000,88888888,888888888
6,37,4,20,22,45,2,2,0,0,13,6,0,12,1,3,1,2,3,35,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60584,1980,0,1999,CENTURY BLVD,0000000,88888888,888888888
6,59,4,20,23,40,1,2,1,0,13,6,0,15,0,1,1,2,2,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60585,2560,0,1999,TUSTIN STREET,0000000,88888888,888888888
6,11,4,20,20,50,1,9,0,0,6,4,0,1,0,1,4,1,2,35,2,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,2,3,1,60886,0,0,1999,BUTTE SLOUGH RD,0000000,88888888,888888888
6,47,4,20,16,27,2,3,0,1,13,3,0,12,4,2,1,2,2,55,1,1,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60902,2150,387,1999,SR-140,0000000,88888888,888888888
12,21,4,20,16,45,1,2,0,0,6,8,0,1,0,1,1,1,2,45,1,1,2,1,0,0,0,1,1,0,16,48,16,54,99,99,0,0,0,0,1,3,0,120721,0,99999,1999,EVERGLADES BLVD,0000000,88888888,888888888
12,11,4,20,22,50,2,3,1,0,15,6,0,8,0,2,1,1,2,35,1,1,2,1,3,3,2,3,1,0,22,50,22,55,0,0,0,0,0,0,1,3,1,120722,1050,99999,1999,NW 19TH ST,0000000,88888888,888888888
12,25,4,20,20,0,1,1,0,1,2,3,0,1,0,4,2,2,2,99,2,1,2,1,0,0,0,3,1,0,20,1,20,8,99,99,0,0,0,0,1,3,1,120723,0,99999,1999,SR-821,0000000,88888888,888888888
12,51,4,20,18,10,2,3,0,0,13,2,0,12,2,3,1,1,2,50,1,1,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,121755,0,99999,1999,US-92,0000000,88888888,888888888
17,31,4,20,22,17,2,3,2,0,16,6,0,8,0,1,1,3,2,35,1,1,2,2,0,0,0,2,2,0,22,27,22,99,99,99,0,17,0,0,2,3,0,170358,1670,0,1999,130TH,0000000,88888888,888888888
18,57,4,20,21,21,1,1,0,0,4,6,0,42,0,1,6,1,2,45,1,1,2,2,0,0,0,3,2,0,99,99,99,99,99,99,0,20,0,0,1,3,1,180199,1540,0,1999,ALLISONVILLE RD,0000000,88888888,888888888
18,127,4,20,18,8,1,1,0,0,3,2,0,42,0,1,6,1,2,55,1,1,2,2,0,0,0,5,2,0,99,99,99,99,99,99,0,0,0,0,1,3,0,180200,0,99999,1999,US-20,0000000,88888888,888888888
22,33,4,20,23,15,1,3,0,1,2,2,0,24,0,1,4,2,2,50,1,1,1,1,0,0,0,2,1,0,23,19,23,21,0,0,0,0,0,0,3,3,0,220189,0,880,1999,US-61,0000000,88888888,888888888
24,33,4,20,20,10,2,2,0,1,12,3,0,12,4,2,1,3,2,55,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,240152,579,105,1999,SR-210,0000000,88888888,888888888
26,99,4,20,17,19,2,2,0,0,14,4,0,12,2,1,1,1,2,50,1,1,2,1,0,0,0,1,1,0,17,18,17,23,99,99,0,0,0,0,1,3,0,260248,0,72,1999,SCHOENHERR,0000000,88888888,888888888
32,3,4,20,21,51,1,2,1,0,14,6,0,8,0,1,1,2,2,35,1,1,2,1,0,0,0,3,1,0,21,51,99,97,99,97,0,0,0,0,1,3,1,320073,120,0,1999,RANCHO,0000000,88888888,888888888
36,75,4,20,22,3,1,1,0,0,5,3,0,35,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,22,3,22,21,99,99,0,0,0,0,1,3,1,360220,6712,3,1999,SR-69,0000000,88888888,888888888
36,5,4,20,16,30,1,6,1,0,13,6,0,8,0,2,1,3,3,99,1,1,9,2,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,360787,4170,0,1999,MOSHOLU PKWY,0000000,88888888,888888888
39,169,4,20,22,30,1,1,0,1,2,2,0,30,0,1,5,1,2,55,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,390325,0,159,1999,US-250,0000000,88888888,888888888
40,17,4,20,18,19,2,3,0,0,6,4,0,12,4,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,18,24,18,46,19,5,0,0,0,0,1,3,1,400256,3780,0,1999,PIEDMONT RDAT APACHE,0000000,88888888,888888888
42,115,4,20,18,10,1,2,0,0,5,3,0,21,0,1,4,1,2,35,2,2,2,1,0,0,0,1,1,0,18,6,18,28,19,51,0,0,0,0,1,3,0,420316,0,33,1999,SR-2096,0000000,88888888,888888888
42,107,4,20,18,24,1,3,1,0,16,6,0,15,0,2,1,1,2,25,1,2,9,2,20,3,0,5,1,0,18,35,18,40,18,48,0,0,0,0,1,3,0,420451,240,0,1999,MARKET ST,0000000,88888888,888888888
45,77,4,20,17,15,2,2,0,0,4,4,0,12,2,1,1,1,2,45,2,2,1,1,28,3,0,1,1,0,99,99,17,27,99,99,0,0,0,0,1,3,0,450250,0,0,1999,BREZEALE RD,0000000,88888888,888888888
45,83,4,20,17,30,2,3,0,0,14,3,0,12,4,4,1,1,2,45,1,2,1,1,20,3,0,1,1,0,99,99,17,38,99,99,0,0,0,0,1,3,0,450274,0,2095,1999,SR-9,0000000,88888888,888888888
47,113,4,20,20,50,3,5,0,1,1,1,0,12,1,1,1,2,2,70,1,1,2,1,0,0,0,2,1,0,20,55,21,3,21,28,0,0,0,0,1,3,0,470226,0,90,1999,I-40,0000000,88888888,888888888
48,339,4,20,22,10,1,2,1,0,3,3,0,8,0,1,1,2,2,65,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,480789,0,99999,1999,SR-242,0000000,88888888,888888888
48,363,4,20,20,35,1,1,0,0,16,5,0,1,0,1,4,1,2,40,2,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,480790,4630,0,1999,HOODROAD,0000000,88888888,888888888
48,43,4,20,16,20,2,3,0,0,4,3,0,1,0,1,1,1,2,70,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,480910,0,284,1999,SR-118,0000000,88888888,888888888
49,53,4,20,21,0,1,1,0,0,6,5,0,36,0,1,6,1,2,30,2,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,490074,1720,0,1999,PIONEERPKWY,0000000,88888888,888888888
51,153,4,20,19,50,1,1,0,0,15,4,0,14,0,4,4,1,2,25,2,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,510189,0,10,1999,MARYLANDAVE,0000000,88888888,888888888
55,105,4,20,16,20,1,2,1,0,4,4,0,8,0,1,1,1,2,45,1,1,2,2,0,0,0,1,1,0,16,27,16,36,17,3,0,0,0,0,1,3,0,550122,0,0,1999,Y,0000000,88888888,888888888
