STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,latitude,longitud
6,37,4,20,18,5,1,2,1,0,14,6,0,8,0,3,1,2,2,35,1,1,2,1,29,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60862,1802,0,2004,MELROSE AVE,BRONSON AVE,0000000,34.083536111,-118.3179417
6,37,4,20,19,55,1,2,1,0,14,6,0,8,0,1,1,2,2,35,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60863,1802,0,2004,RESEDA BLVD,99999999999999999999,0000000,34.225194444,-118.5361639
6,5,4,20,20,25,2,4,0,1,2,3,0,12,4,2,1,1,2,55,1,1,2,1,40,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60995,0,74,2004,SR-88,SR-104,0000000,38.359666667,-120.8211167
12,57,4,20,23,50,1,1,0,0,13,2,0,33,0,1,4,2,3,50,1,1,2,1,28,3,0,2,1,0,23,53,0,5,99,99,0,0,0,0,1,3,0,120857,0,99999,2004,US-41,12TH AVE,0000000,27.933858333,-82.40185278
12,127,4,20,21,30,2,3,0,1,2,2,0,12,1,1,1,2,3,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,120858,0,99999,2004,US-92,LPGA BLVD,0000000,29.150058333,-81.11055556
12,69,4,20,22,23,1,2,1,0,13,2,0,8,0,2,1,2,2,40,1,1,2,1,0,0,0,3,1,0,22,16,22,19,99,99,0,0,0,0,1,3,1,120859,0,99999,2004,US-27,LADY LAKE BLVD,0000000,28.915672222,-81.92173611
12,71,4,20,21,25,2,3,0,0,14,3,0,12,2,2,1,2,2,45,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,120941,0,99999,2004,SR-867,SOUTHDALE RD,0000000,26.543513889,-81.91515278
13,121,4,20,22,20,2,2,0,1,12,2,0,12,1,1,1,2,2,55,1,1,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,130364,280,8,2004,US-19 (SR 400),99999999999999999999,0000000,33.829305556,-84.36025
13,129,4,20,23,50,2,2,0,0,16,4,0,12,2,1,1,1,2,45,2,2,2,1,0,0,0,2,1,0,23,54,23,59,0,56,0,0,0,0,1,3,0,131135,860,2,2004,182,99999999999999999999,0000000,34.527916667,-84.947
17,119,4,20,20,4,2,3,0,0,14,3,0,12,5,2,1,1,2,45,1,1,2,1,20,3,0,3,1,0,22,7,22,99,99,99,0,0,0,0,2,3,1,170302,1910,40,2004,SR-35,EASTPORT PLAZA,0000000,38.689961111,-90.02631944
