STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
4,13,4,20,16,38,2,2,0,0,13,6,0,12,4,2,1,5,6,45,1,1,2,1,2,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,40846,370,0,2007,CAVE CREEK RD,SHARON DR,0000000,2,1,33.61134444,-112.0357194
5,95,4,20,17,50,1,1,0,1,1,1,0,25,0,1,2,2,2,70,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,50161,0,2161,2007,I-40-43,99999999999999999999,0000000,1,1,34.91231944,-91.17118333
6,13,4,20,20,40,2,2,0,1,12,3,0,12,1,1,1,3,4,65,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,60902,0,37,2007,SR-24,99999999999999999999,0000000,2,1,37.89250278,-122.1666611
6,71,4,20,22,49,1,5,2,1,12,3,0,8,0,1,1,2,2,50,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,60903,2960,21,2007,SR-38,99999999999999999999,0000000,1,1,34.07006389,-117.1549917
6,73,4,20,23,59,2,5,0,0,4,3,0,12,4,1,1,1,2,40,2,1,2,2,0,0,0,2,2,0,0,99,99,99,99,99,99,0,0,0,0,2,6,1,60904,0,164,2007,SR-76,99999999999999999999,0000000,2,2,33.32236667,-117.1706111
8,13,4,20,17,0,1,2,0,0,2,2,0,27,0,1,4,1,2,55,1,2,2,1,0,0,0,1,1,0,0,17,0,17,9,99,99,0,0,0,0,1,6,2,80145,0,279,2007,US-36,99999999999999999999,0000000,1,1,40.13083611,-105.2823056
9,9,4,20,23,28,1,1,0,0,14,6,0,30,0,1,4,1,2,40,2,1,2,1,0,0,0,3,1,0,0,23,28,99,99,0,0,0,0,0,0,1,6,1,90055,267,13,2007,SHERMAN AVENUE#1,99999999999999999999,0000000,1,1,41.40601667,-72.91409167
9,9,4,20,23,18,4,10,0,1,12,3,0,12,9,15,1,3,2,55,2,2,2,1,0,0,0,2,1,0,0,23,18,23,23,0,50,0,20,0,0,1,6,5,90093,10,158,2007,SR-8,99999999999999999999,0000000,4,1,41.36963333,-73.08628333
12,99,4,20,22,12,1,1,0,0,12,6,0,1,0,1,1,1,2,30,1,1,2,1,0,0,0,2,1,0,0,22,14,22,22,99,99,0,0,0,0,1,6,0,120600,330,99999,2007,35TH AVE,SR-807,0000000,1,1,26.49290556,-80.08608333
12,9,4,20,20,30,1,2,1,0,13,2,0,9,0,2,1,2,2,55,1,1,2,1,20,3,0,2,1,0,0,20,31,20,39,99,99,0,0,0,0,1,6,1,120604,0,99999,2007,us-1,ANSIN RD,0000000,1,1,28.27373056,-80.69268056
