STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,107,4,20,18,10,2,2,0,1,2,2,0,12,2,1,1,1,3,55,1,2,2,1,0,0,0,1,1,0,0,99,99,19,32,99,99,0,0,0,0,1,1,1,10216,0,286,2008,US-SR 6,99999999999999999999,0000000,33.28984444,-87.86930278,2,1
1,33,4,20,20,0,1,1,0,0,4,4,0,1,0,1,4,1,2,45,2,2,2,1,0,0,0,2,1,0,0,99,99,20,58,0,0,0,0,0,0,1,1,0,10217,0,0,2008,1029,99999999999999999999,0000000,34.883775,-88.03041111,1,1
1,73,4,20,18,50,1,1,0,0,2,4,0,30,0,1,4,1,2,35,1,1,2,1,0,0,0,1,1,0,0,99,99,19,6,0,0,0,0,0,0,1,1,0,10867,0,0,2008,1250,99999999999999999999,0000000,33.680475,-86.53585833,1,1
5,137,4,20,18,22,1,1,0,0,4,3,0,1,0,1,1,2,2,55,1,2,2,1,0,0,0,1,1,0,0,18,25,18,40,99,99,0,0,0,0,1,1,0,50131,0,7,2008,SR-263-02,99999999999999999999,0000000,35.88146944,-92.31691389,1,1
6,111,4,20,18,40,1,4,0,0,12,3,0,1,0,1,2,3,2,65,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60687,4027,10,2008,SR-33,99999999999999999999,0000000,34.29424722,-119.3052694,1,1
6,71,4,20,22,8,1,2,0,1,11,1,0,1,0,1,2,2,2,65,2,1,1,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60688,3210,86,2008,I-215,99999999999999999999,0000000,34.12810278,-117.3034583,1,1
6,73,4,20,19,2,3,6,0,1,11,1,0,12,1,1,1,3,5,65,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,60945,710,51,2008,I-5,99999999999999999999,0000000,32.590775,-117.0883472,3,1
6,37,4,20,20,24,2,1,0,0,16,6,0,14,1,1,2,1,2,25,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,60946,2240,0,2008,N 6TH ST,99999999999999999999,0000000,34.0146,-118.1045139,1,1
9,11,4,20,18,12,3,4,0,0,14,3,0,12,8,1,1,1,2,35,2,1,2,1,0,0,0,1,1,0,0,18,12,99,99,99,99,0,0,0,0,1,1,1,90042,219,198,2008,SR-156,99999999999999999999,0000000,41.32378889,-72.17747222,3,1
12,86,4,20,18,35,2,4,0,0,14,3,0,13,4,1,1,2,2,45,1,1,2,1,28,3,0,1,1,0,0,99,99,18,36,99,99,0,0,0,0,1,1,0,120562,0,99999,2008,SR-989,SW 236 ST,0000000,25.54895556,-80.37203889,2,1
12,86,4,20,20,10,1,3,0,1,12,3,0,57,0,1,2,3,3,60,1,1,2,1,0,0,0,3,1,0,0,20,18,20,24,99,99,0,0,0,0,2,1,0,120811,0,99999,2008,SR-821,SR-90,0000000,25.75376944,-80.38509722,1,1
13,89,4,20,23,36,2,3,0,0,12,3,0,12,1,1,1,3,3,55,1,1,2,1,0,0,0,3,1,0,0,23,37,0,5,99,99,0,0,0,0,1,1,1,130366,0,71,2008,SR-141,99999999999999999999,0000000,33.93093333,-84.26593056,2,1
13,115,4,20,18,40,2,2,0,0,3,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,1,1,0,0,18,42,18,52,19,28,0,0,0,0,1,1,0,130367,0,45,2008,SR-140,99999999999999999999,0000000,34.37375278,-85.10171667,2,1
18,63,4,20,17,0,2,5,0,0,6,4,0,12,2,1,1,1,2,25,1,1,2,1,0,0,0,1,1,0,0,17,7,17,12,99,99,0,0,0,0,1,1,0,180199,3990,0,2008,CENTER ST,SPRINGCREST DR,0000000,39.68690278,-86.389875,2,1
19,117,4,20,18,59,1,1,0,0,6,4,0,10,0,6,1,1,2,55,2,2,4,1,70,3,0,1,1,0,0,19,3,19,15,0,0,0,0,0,0,1,1,0,190155,0,0,2008,110TH AVE,99999999999999999999,079092L,41.01574444,-93.53746389,1,1
21,227,4,20,17,20,1,1,0,0,6,4,0,1,0,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,0,17,20,17,47,18,14,0,0,0,0,1,1,0,210185,0,21,2008,matlock old union rd,00,0000000,36.81182778,-86.43304722,1,1
21,227,4,20,18,8,2,4,0,1,1,1,0,12,7,13,1,6,1,70,1,1,2,1,0,0,0,1,1,0,0,18,9,18,15,0,0,0,0,0,0,1,1,1,210186,0,206,2008,I-65 SB,99999999999999999999,0000000,36.89897778,-86.43811111,2,1
21,83,4,20,17,48,2,10,0,0,3,3,0,12,5,2,1,1,2,55,1,1,2,1,3,3,0,1,1,0,0,17,48,17,51,18,9,0,0,0,0,1,1,0,210204,0,86,2008,sr-121,sr-80e,0000000,36.71419722,-88.62253611,2,1
22,105,4,20,21,37,2,6,2,1,1,1,0,12,1,1,1,3,2,70,1,1,1,1,0,0,0,2,1,0,0,21,38,21,48,22,30,0,19,15,0,1,1,1,220188,0,152,2008,I-55,99999999999999999999,0000000,30.2925,-90.40336111,2,1
22,95,4,20,22,52,4,7,0,1,1,1,0,12,1,1,1,3,2,70,1,1,1,1,0,0,0,2,1,0,0,22,59,23,17,0,22,0,19,0,0,1,1,1,220217,0,141,2008,I-55,99999999999999999999,0000000,30.27525833,-90.39967778,4,1
26,81,4,20,17,30,1,1,0,0,4,4,0,42,0,1,6,1,2,55,2,1,2,1,0,0,0,1,1,0,0,17,33,17,46,99,99,0,22,0,0,1,1,0,260172,0,58,2008,GRAND RIVER DR,99999999999999999999,0000000,42.92244444,-85.37778056,1,1
27,163,4,20,20,32,1,1,0,0,5,4,0,27,0,1,4,1,2,55,2,1,2,1,0,0,0,5,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,270103,6455,10,2008,15A 078200015A,SCANDIA TRL,0000000,45.26785,-92.88923333,1,1
29,221,4,20,18,20,2,2,0,0,3,3,0,12,2,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,0,18,30,19,3,19,43,0,0,0,0,1,1,1,290216,0,207,2008,SR-21,99999999999999999999,0000000,37.8625,-90.76591667,2,1
29,510,4,20,20,5,1,2,0,0,13,3,0,30,0,1,4,5,4,45,1,1,2,1,0,0,0,3,1,0,0,20,7,20,16,20,48,0,0,0,0,1,1,1,290217,7080,52,2008,SR-13,99999999999999999999,0000000,38.70604722,-90.22488056,1,1
30,43,4,20,19,43,1,1,0,1,1,1,0,36,0,1,4,2,2,75,2,2,2,1,0,0,0,1,1,0,0,19,45,20,4,0,0,0,0,0,0,1,1,1,300041,0,2380,2008,I-90,99999999999999999999,0000000,45.91419722,-112.2748222,1,1
31,89,4,20,23,38,1,1,0,0,3,3,0,1,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,310058,0,1273,2008,SR-11,00000000000000000000,0000000,42.22495833,-98.96346944,1,1
35,1,4,20,21,53,2,2,0,0,14,6,0,12,5,2,1,2,6,40,1,1,2,1,3,3,1,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,350057,30,0,2008,MENAUL,UNIVERSITY,0000000,35.109025,-106.6233444,2,1
36,61,4,20,18,25,2,2,0,0,13,6,0,12,1,1,1,9,9,99,1,2,9,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,360211,4170,0,2008,FDR DR,99999999999999999999,0000000,40.74447222,-73.97113611,2,1
36,111,4,20,19,36,1,4,0,1,1,1,0,34,0,1,4,3,2,65,1,1,2,1,0,0,0,5,1,0,0,19,37,19,52,23,30,0,0,0,0,1,1,0,360218,3060,0,2008,I-87,99999999999999999999,0000000,,,1,1
36,117,4,20,20,15,1,3,1,0,16,5,0,9,0,1,1,1,2,55,1,3,2,1,28,3,2,5,1,0,1,20,19,20,24,20,41,0,0,0,0,1,1,1,360293,4640,0,2008,HOGBACK RD,99999999999999999999,0000000,43.05862222,-77.14219167,1,1
40,143,4,20,17,36,1,2,0,1,11,1,0,1,0,13,1,6,1,65,1,1,2,1,40,3,0,1,1,0,0,17,35,17,39,18,1,0,0,0,0,1,1,0,400177,4780,114,2008,I-244 RAMP,99999999999999999999,0000000,36.16341389,-95.90680278,1,1
41,55,4,20,17,50,1,6,0,0,5,4,0,1,0,1,4,1,2,99,1,2,4,1,0,0,0,1,1,0,0,17,53,18,12,20,21,0,0,0,0,1,1,1,410083,0,24,2008,FINNEGAN RD,0,0000000,45.28067778,-120.7890806,1,1
41,67,4,20,20,8,2,2,0,0,3,4,0,12,4,1,1,1,2,35,2,1,2,1,0,0,0,5,1,0,0,20,9,20,16,20,57,0,0,0,0,1,1,0,410084,0,0,2008,SW SHOLLS FERRY RD,0,0000000,45.41871111,-122.8910333,2,1
