STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,latitude,longitud
2,20,4,27,21,51,1,1,0,1,13,8,0,1,0,1,4,2,3,55,2,1,2,1,0,0,0,1,1,0,21,53,21,57,22,14,0,0,0,0,1,7,1,20016,130,33,2002,MINNESOTA,0000000,61.14935,-149.9084361
4,13,4,27,16,26,2,5,0,1,2,3,0,12,5,2,1,2,2,65,1,1,2,1,20,3,0,1,1,0,16,26,16,40,99,99,0,0,0,0,1,7,0,40303,0,1991,2002,SR-87,0000000,33.627683333,-111.5588222
4,5,4,27,17,38,1,1,0,0,6,4,5,42,0,1,6,1,2,0,2,2,9,1,0,0,0,1,1,0,18,8,18,30,99,99,0,0,0,0,1,7,1,40304,0,0,2002,99999999999999999999,0000000,,
4,13,4,27,22,39,1,2,1,0,13,6,0,8,0,1,1,5,2,40,1,1,2,1,0,0,2,3,1,0,99,98,99,98,99,98,0,0,0,0,1,7,0,40305,370,0,2002,19TH AV,0000000,33.581044444,-112.0996028
5,5,4,27,16,45,2,2,0,0,4,3,0,12,4,1,1,1,2,55,1,1,9,1,0,0,0,1,1,0,16,48,17,8,99,99,0,0,0,0,1,7,1,50155,2850,0,2002,SR-201-00,0000000,36.228344444,-92.29340278
5,147,4,27,22,47,2,4,0,0,4,2,0,12,1,1,1,1,2,55,1,1,4,1,0,0,0,2,1,0,22,50,22,57,99,99,0,0,0,0,1,7,0,50161,2410,42,2002,US-64-14B,0000000,35.257730556,-91.23128889
6,37,4,27,22,20,1,3,0,0,14,6,0,27,0,1,4,1,2,30,1,1,2,1,20,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,7,2,60750,1980,0,2002,FOX ST,0000000,34.267866667,-118.4512361
6,65,4,27,23,20,1,1,0,0,14,6,0,1,0,1,1,1,4,45,2,1,2,1,4,3,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,7,1,60825,0,0,2002,MISSION BLVD,0000000,34.011538889,-117.4991667
6,115,4,27,18,10,1,1,0,0,3,4,0,42,0,1,4,1,2,55,2,2,2,1,40,3,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,7,0,60883,0,0,2002,MARYSVILLE RD,0000000,39.379275,-121.1550306
6,59,4,27,17,35,3,3,0,0,14,6,0,12,5,1,1,9,9,35,9,9,9,1,0,0,0,1,1,0,99,99,99,99,99,99,0,99,99,99,1,7,1,61172,3760,0,2002,DALE AVE,0000000,33.815602778,-117.9846639
6,19,4,27,18,0,2,3,0,1,12,3,0,12,1,1,1,2,3,65,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,61211,1370,306,2002,SR-41,0000000,36.840725,-119.7849722
8,123,4,27,18,0,2,2,0,0,14,6,0,12,2,1,1,1,2,45,1,2,2,1,0,0,0,1,1,0,18,4,18,14,18,53,0,0,0,0,1,7,0,80156,780,0,2002,49 ST,0000000,40.363577778,-104.7404528
11,1,4,27,16,25,2,2,0,0,16,6,0,12,5,4,1,1,2,25,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,110016,10,0,2002,CONGRESS ST SE,0000000,38.841908333,-76.98826389
12,101,4,27,20,35,1,3,1,1,13,2,0,8,0,1,1,2,3,45,1,1,2,1,0,0,0,2,1,0,20,40,20,43,0,0,0,0,0,0,1,7,2,120806,0,99999,2002,US-19,0000000,28.35085,-82.69921667
12,71,4,27,17,8,2,5,0,1,1,1,0,12,3,1,1,2,2,70,1,1,2,1,0,0,0,1,1,0,17,10,17,18,99,99,0,0,0,0,3,7,1,120810,0,99999,2002,I-75,0000000,26.751783333,-81.86408611
12,5,4,27,16,20,1,2,1,0,6,4,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,16,21,16,28,99,99,0,0,0,0,1,7,0,120811,0,99999,2002,CR-388,0000000,30.384258333,-85.55846111
12,73,4,27,17,5,1,2,1,0,16,6,0,8,0,2,1,1,2,30,1,1,2,1,20,3,0,1,1,0,17,4,17,13,99,99,0,0,0,0,1,7,0,120837,2940,99999,2002,ESTATES RD.,0000000,30.394719444,-84.30384167
