STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
5,119,4,27,19,3,1,1,0,1,11,1,0,43,0,1,4,2,4,65,2,1,1,1,0,0,0,1,1,0,19,5,19,9,99,99,0,0,0,0,1,5,1,50178,2320,1378,2006,I-30-23,99999999999999999999,0000000,1,34.71503889,-92.26965556
5,129,4,27,23,40,1,2,0,0,6,4,0,37,0,1,6,1,1,35,1,1,5,1,0,0,0,2,1,0,23,54,0,14,99,99,0,0,0,0,1,5,1,50179,0,0,2006,CR 64,99999999999999999999,0000000,1,35.94095556,-92.43480833
6,71,4,27,17,31,4,5,0,0,15,6,0,12,5,8,1,1,2,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,60944,2550,0,2006,FIFTH ST,99999999999999999999,0000000,3,34.08150000,-117.6770528
6,75,4,27,18,37,13,2,0,0,14,6,0,12,5,8,1,1,4,25,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,60945,3290,0,2006,CASTRO ST,99999999999999999999,0000000,2,37.76270000,-122.4351889
6,37,4,27,18,58,2,2,0,0,16,6,0,33,0,3,4,1,2,25,2,2,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,60946,3720,0,2006,STONEY DR,ARROYO DR,0000000,2,34.11559167,-118.1673444
11,1,4,27,20,28,1,2,1,0,16,6,0,8,0,3,1,1,2,25,1,1,2,1,0,0,2,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,110020,10,0,2006,VALLEY AVENUE,9th street,0000000,1,38.83598889,-76.99572778
12,105,4,27,20,37,1,2,1,0,6,4,0,9,0,1,1,1,2,35,1,1,2,1,0,0,0,2,1,0,20,37,20,39,0,0,0,0,0,0,1,5,1,121195,0,99999,2006,KALOGRIDIS RD,HINSON AVE,0000000,1,28.11046944,-81.55773333
12,17,4,27,17,35,2,4,0,0,6,4,0,12,6,2,1,1,2,25,1,1,2,1,0,0,0,1,1,0,17,36,17,44,99,99,0,0,0,0,1,5,0,121196,0,99999,2006,S PLEASANT AVE,W MOCKINGBIRD ST,0000000,2,28.76410000,-82.51200278
12,86,4,27,23,53,1,5,0,1,11,1,0,1,0,1,4,2,4,70,1,1,2,1,0,0,0,2,1,0,23,53,0,1,99,99,0,0,0,0,2,5,1,121698,0,99999,2006,i-75,SR-860,0000000,1,25.93861389,-80.35049167
12,99,4,27,16,55,2,2,0,0,13,3,0,1,0,10,1,3,3,50,1,1,2,1,2,3,0,1,1,0,16,57,16,57,99,99,0,0,0,0,1,5,0,122592,0,99999,2006,SR-804,SR-91,0000000,2,26.52819444,-80.17243889
13,207,4,27,19,48,1,1,1,0,4,4,0,8,0,1,1,1,3,40,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,130478,2190,8,2006,Co Rd 271,99999999999999999999,0000000,1,33.03473611,-83.92335000
17,89,4,27,17,30,1,2,0,0,6,5,0,38,0,1,4,1,2,30,1,2,2,8,0,0,0,1,1,0,17,31,17,99,99,99,0,0,0,0,1,5,0,170293,0,0,2006,HARLEY RD,99999999999999999999,0000000,1,41.89219444,-88.42378611
17,81,4,27,20,40,1,2,0,0,6,5,0,1,0,1,4,1,2,45,1,1,2,1,0,0,0,2,1,0,20,40,20,99,99,99,0,0,0,0,1,5,1,170307,0,0,2006,PROGRAM LN,99999999999999999999,0000000,1,38.26134167,-88.75891667
17,43,4,27,23,48,2,2,0,1,13,3,0,12,1,1,1,3,3,45,1,1,2,1,0,0,1,3,1,0,23,48,23,99,99,99,0,0,0,0,1,5,1,170403,3416,1159,2006,SR-064,99999999999999999999,0000000,2,41.90354722,-88.06337500
18,157,4,27,21,17,5,2,0,0,4,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,21,21,21,31,99,99,0,0,0,0,1,5,1,180274,2480,0,2006,SR-25,CR-600,0000000,2,40.50109167,-86.79551389
21,191,4,27,22,16,1,1,0,0,4,3,0,34,0,1,4,1,2,55,1,3,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,210214,0,56,2006,SR-177,0,0000000,1,38.77778333,-84.37329722
22,105,4,27,20,55,1,2,1,0,15,3,0,9,0,1,1,1,2,50,1,1,2,1,0,0,2,2,1,0,20,56,21,5,21,25,0,0,0,0,1,5,0,220366,0,32,2006,SR-1040,99999999999999999999,0000000,1,30.48625000,-90.52610000
26,163,4,27,22,6,1,3,0,1,13,6,0,33,0,1,4,5,4,35,2,9,9,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,3,5,0,260178,1260,44,2006,CONNER,99999999999999999999,0000000,1,42.41876389,-83.01287778
26,93,4,27,19,50,1,1,0,0,5,4,0,42,0,1,6,1,2,45,2,1,2,9,0,0,0,1,1,0,19,51,19,57,0,0,0,20,0,0,1,5,0,260210,0,11,2006,PLEASANT VALLEY RD,99999999999999999999,0000000,1,42.53118333,-83.72061389
29,51,4,27,19,30,1,1,0,0,4,3,0,1,0,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,19,37,19,41,20,4,0,0,0,0,1,5,1,290263,0,2,2006,SR-H,99999999999999999999,0000000,1,38.42058333,-92.28388889
36,29,4,27,23,16,2,2,0,1,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,23,18,23,23,99,99,0,0,0,0,1,5,1,360196,70,67,2006,SR-33 (GENESEE ST.),CRITTENDEN RD,0000000,2,42.94670833,-78.47972500
