STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
4,13,4,27,19,41,1,2,1,0,15,6,0,15,0,1,1,1,4,45,1,1,2,1,0,0,2,1,0,0,19,41,19,50,20,15,0,0,0,0,1,2,0,40375,220,2009,0,AVONDALE BLVD,99999999999999999999,0000000,33.4157,-112.3063444,1,1
5,119,4,27,21,0,1,4,1,0,13,2,0,8,0,1,1,3,2,35,1,1,2,1,0,0,6,1,0,0,21,0,21,10,99,99,0,0,0,0,1,2,0,50147,2320,2009,28,US-70-12,99999999999999999999,0000000,34.71166944,-92.34338611,1,1
6,71,4,27,19,24,1,2,1,1,2,3,0,8,0,1,1,5,4,65,1,1,1,1,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60779,0,2009,23,SR-62,99999999999999999999,0000000,34.05813611,-116.5679889,1,1
6,83,4,27,22,45,1,1,0,0,3,4,0,38,0,1,5,1,2,35,1,1,2,1,0,0,3,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,1,61358,0,2009,0,MODOC RD,99999999999999999999,0000000,34.43810278,-119.7661667,1,1
8,81,4,27,17,20,1,2,0,0,4,4,0,1,0,1,4,1,2,40,2,1,4,1,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,1,80118,0,2009,170,10N,99999999999999999999,0000000,40.932,-108.7743111,1,1
12,57,4,27,20,14,2,4,0,0,6,4,0,12,2,2,1,1,2,45,1,1,2,1,0,0,3,1,0,0,20,16,20,21,99,99,0,0,0,0,1,2,0,120693,0,2009,99999,DOVER RD,WHITE CLIFF PLACE,0000000,27.91401389,-82.2195,2,1
13,105,4,27,18,4,1,2,0,0,3,3,0,42,0,1,6,1,2,55,1,2,2,1,0,0,1,1,0,0,18,4,18,9,18,23,0,0,0,0,1,2,0,130366,0,2009,99999,SR-77,99999999999999999999,0000000,34.15279722,-82.86313611,1,1
20,99,4,27,22,30,1,2,0,0,6,4,0,7,0,1,1,1,2,55,1,2,4,6,0,0,3,2,6,0,23,34,0,11,88,88,0,5,0,0,2,2,0,200106,3830,2009,0,15000 RD,99999999999999999999,0000000,37.20934444,-95.39437222,1,2
21,67,4,27,18,57,1,4,0,0,14,3,0,39,0,1,4,1,2,55,1,2,2,1,0,0,1,1,0,0,18,59,19,20,19,55,0,0,0,0,1,2,0,210207,1980,2009,18,SR-353,99999999999999999999,0000000,38.09832778,-84.46156111,1,1
21,1,4,27,22,13,1,1,0,0,5,3,0,42,0,1,4,1,2,55,2,1,2,1,0,0,2,1,0,0,22,14,22,19,0,2,0,0,0,0,1,2,0,210208,0,2009,11,SR-531,99999999999999999999,0000000,37.08359722,-85.20953056,1,1
21,107,4,27,21,36,2,3,0,0,14,2,0,12,5,8,1,5,4,45,1,2,2,1,28,3,3,1,0,0,21,37,21,42,21,54,0,0,0,0,1,2,1,210213,2150,2009,178,US-41,99999999999999999999,0000000,37.34982778,-87.48473056,2,1
