STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
4,40229,2,2,0,2,13,370,27,4,2010,3,22,25,0,15,6,CAMPBELL RD,28TH ST,0,33.50236111,-112.021600000,0,12,6,0,2,2,1,0,3,1,0,1,0,0000000,22,26,22,29,99,99,0,0,0,1,0
6,60695,1,1,0,1,37,1980,27,4,2010,3,18,30,1,12,2,US-101,,3,34.03829444,-118.221436110,0,33,0,0,1,1,5,0,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,1
6,60696,1,1,1,1,71,1605,27,4,2010,3,20,2,0,14,6,STERLING AVE,,0,34.12206667,-117.243650000,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,120630,1,1,0,1,31,1510,27,4,2010,3,19,47,1,11,1,I-95,,99998,30.22131111,-81.573966670,0,1,0,1,5,1,2,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,120672,1,1,1,1,71,457,27,4,2010,3,19,17,0,16,6,DEL PRADO BLVD,,0,26.65921667,-81.941083330,0,9,0,0,1,1,1,0,1,1,0,1,0,0000000,19,18,19,24,99,99,0,0,0,1,0
12,121141,2,2,0,3,81,340,27,4,2010,3,18,53,0,16,6,2ND STREET EAST,RIVERSIDE DRIVE EAST,0,27.49827222,-82.561211110,0,12,6,0,2,2,1,0,5,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
13,130297,1,1,0,1,25,0,27,4,2010,3,21,18,0,9,4,SLOAN HILL RD,,99999,99.99990000,999.999900000,0,1,0,0,1,1,1,0,2,1,0,1,0,0000000,21,19,21,34,22,43,0,0,0,1,0
13,130298,1,1,0,1,123,0,27,4,2010,3,18,58,0,4,4,BOARDTOWN RD,,10,34.82767500,-84.407294440,0,42,0,0,1,1,4,0,1,10,0,10,0,0000000,18,58,19,16,88,88,0,0,0,1,1
13,130314,2,2,0,5,95,90,27,4,2010,3,19,41,1,13,3,SR-62,SR-234,167,31.54906389,-84.176752780,0,12,6,0,2,4,1,0,1,1,0,1,0,0000000,19,42,20,0,20,6,0,0,0,1,0
25,250208,2,2,0,2,5,254,27,4,2010,3,17,44,1,12,2,US-44,,99998,41.87288333,-71.186427780,0,12,2,0,1,1,1,0,5,2,0,2,0,0000000,17,44,17,55,99,99,0,0,0,1,0
27,270083,1,1,1,2,47,0,27,4,2010,3,16,36,1,1,1,I-35 0100000035,,21,43.52173056,-93.355233330,0,8,0,0,7,1,1,0,1,1,0,1,0,0000000,16,36,99,99,99,99,23,0,0,1,0
36,360227,1,1,1,1,61,4170,27,4,2010,3,21,40,0,14,6,ESSEX ST,,0,40.72128333,-73.986813890,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
37,370503,1,1,1,2,155,2770,27,4,2010,3,22,48,0,13,6,MARTIN L KING DRIVE,,99999,34.59113889,-79.042361110,0,8,0,0,1,1,1,0,3,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
39,390216,2,2,0,2,23,0,27,4,2010,3,17,15,0,4,2,US-40,HOUSTON-PIKE,261,39.93000000,-83.563608330,0,12,6,0,2,2,1,0,1,10,0,10,0,0000000,17,19,17,21,17,58,0,0,0,1,0
39,390240,2,2,0,5,49,1800,27,4,2010,3,20,18,1,12,1,I-270,,55,39.94258056,-83.121700000,0,12,7,0,1,1,1,0,5,1,0,1,0,0000000,20,21,20,26,20,54,0,0,0,1,1
40,400136,1,1,1,1,125,4300,27,4,2010,3,16,22,0,16,6,DOROTHY ST,,0,35.33553889,-96.936138890,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,16,23,16,30,16,46,0,0,0,1,0
45,450293,1,1,0,3,3,0,27,4,2010,3,23,0,0,4,4,146,,47,33.41951389,-81.730041670,0,38,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,3,1
47,470260,1,1,0,1,73,0,27,4,2010,3,21,15,0,6,4,PAYNE RIDGE ROAD,,7,36.56578056,-82.752586110,0,42,0,0,1,1,4,0,2,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480521,1,1,1,1,113,1730,27,4,2010,3,20,53,0,16,5,GREENVILLE,,0,32.87420000,-96.762766670,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
48,480588,2,2,0,3,1,0,27,4,2010,3,17,26,0,5,8,FM2706,,27,31.87930556,-95.913647220,0,12,6,0,1,1,1,0,1,1,0,1,0,0000000,18,4,18,24,18,56,0,0,0,1,0
