STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10234,1,1,0,1,1,1,1,97,2100,27,4,2013,7,23,46,0,16,6,ST FRANCIS ST,SPRING HILL AVE,0,30.68922222,-88.05274167,0,9,0,0,3,2,0,1,3,1,0,1,0,0000000,99,99,23,52,88,88,0,0,0,1,1
4,40257,2,2,0,0,0,4,4,13,80,27,4,2013,7,21,51,0,16,6,ORCHID LN,,0,33.3246,-111.8112667,0,12,2,0,1,1,0,1,3,1,0,1,0,0000000,21,52,21,57,22,32,0,0,0,1,1
4,40259,2,2,0,0,0,5,5,13,370,27,4,2013,7,19,52,0,14,6,7TH ST,CARTER RD,0,33.38224444,-112.0646278,0,12,6,0,3,3,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60571,1,1,0,0,0,1,1,29,0,27,4,2013,7,19,34,1,2,2,US-395 RAMP,,237,35.6535,-117.8020889,0,31,0,0,5,1,0,4,5,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
6,60572,2,2,0,0,0,2,2,53,0,27,4,2013,7,19,35,1,2,2,US-395 RAMP,,237,36.31335,-121.1702,0,1,0,0,1,1,0,1,5,1,0,1,0,0000000,99,99,99,99,88,88,14,0,0,1,0
6,60575,1,1,0,0,0,2,2,107,4050,27,4,2013,7,21,19,0,12,6,NOBLE AVE,,0,36.32681667,-119.333025,0,1,0,0,1,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
6,60621,1,1,0,0,0,1,1,81,4259,27,4,2013,7,19,6,0,13,3,SR-84,,171,37.39816389,-122.2559472,0,42,0,0,1,1,0,5,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
6,60622,3,3,0,0,0,3,3,65,2278,27,4,2013,7,21,11,0,14,6,MORENO BEACH DR,BAY AVE,0,33.92097778,-117.1741778,0,12,6,0,2,3,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60966,3,1,2,0,5,1,6,65,3070,27,4,2013,7,22,50,1,11,1,I-215,,388,33.94746389,-117.3011806,0,14,0,0,1,1,1,8,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
6,61108,1,1,0,0,0,1,1,55,0,27,4,2013,7,22,38,0,4,4,CR-ORCHARD AVE,,0,38.34240278,-122.3439194,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
6,62840,1,1,0,1,1,1,1,37,1980,27,4,2013,7,18,50,0,14,6,FIGUEROA ST,BURWOOD AVE,0,34.12669444,-118.1867833,0,8,0,0,3,3,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,120632,1,1,0,1,1,1,1,21,0,27,4,2013,7,21,15,0,16,9,W DELAWARE AVE,,0,26.41306389,-81.41835556,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,120947,1,1,0,0,0,3,3,86,1440,27,4,2013,7,20,23,0,16,6,NE 32ND ST,,0,25.48282222,-80.42861111,0,25,0,0,1,1,0,3,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
17,170221,2,2,0,0,0,3,3,21,0,27,4,2013,7,21,45,0,3,3,SR-104,,1187,39.59051389,-89.43466667,0,12,2,0,1,1,0,1,2,2,0,2,0,0000000,21,47,99,99,99,99,0,0,0,1,1
22,220178,2,2,0,0,0,3,3,57,0,27,4,2013,7,21,35,0,15,3,SR-1,,415,29.48618889,-90.32441944,0,12,2,0,1,1,0,1,2,10,0,10,0,0000000,21,43,21,49,22,24,0,0,0,1,1
22,220188,2,2,0,0,0,7,7,33,150,27,4,2013,7,18,47,0,6,4,CR-MILLDALE RD,REAMES RD,0,30.66761111,-91.0274,0,12,6,0,2,2,0,1,5,10,0,10,0,0000000,18,47,19,1,19,37,0,0,0,1,0
24,240134,2,2,0,0,0,4,4,27,0,27,4,2013,7,20,12,1,11,1,I-95,,82,39.20600278,-76.74983889,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
25,250052,2,2,0,0,0,2,2,13,500,27,4,2013,7,18,53,0,16,8,BOWERS STREET,EAST DWIGHT STREET,0,42.20455,-72.60171389,0,12,6,0,2,3,0,1,1,1,0,1,0,0000000,18,56,19,3,19,23,0,0,0,1,0
26,260198,1,1,0,0,0,2,2,149,0,27,4,2013,7,17,40,0,6,4,CR-BLUE SCHOOL RD,,33,41.81201667,-85.68197778,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
29,290150,1,1,0,0,0,2,2,189,2700,27,4,2013,7,20,56,1,11,1,I-270,,302,38.771,-90.27352778,0,25,0,0,1,1,0,3,3,2,10,2,0,0000000,21,0,21,9,21,35,0,0,0,1,1
29,290157,1,1,0,0,0,3,3,510,7080,27,4,2013,7,23,29,0,14,6,N BROADWAY AVE,ANGELICA ST,48,38.66729722,-90.19845,0,42,0,0,3,2,0,4,3,2,0,2,0,0000000,99,98,99,98,88,88,0,0,0,1,1
29,290310,1,1,0,0,0,1,1,47,7370,27,4,2013,7,18,0,0,4,3,SR-KK,,11,39.3979,-94.58723611,0,43,0,0,1,1,0,4,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
35,350138,1,1,0,0,0,2,2,45,9997,27,4,2013,7,21,11,1,2,2,US-491,,759,36.57633056,-108.7089111,3,31,0,0,1,1,0,4,2,1,0,1,0,0000000,21,10,21,24,99,99,0,0,0,1,1
36,360188,1,1,0,0,0,1,1,39,290,27,4,2013,7,17,18,0,2,3,SR-9W,,0,99.99990000,999.99990000,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,17,18,17,25,88,88,0,0,0,1,1
37,370291,1,1,0,0,0,1,1,49,0,27,4,2013,7,18,9,1,2,2,US-17,,99999,99.99990000,999.99990000,0,24,0,0,5,1,0,4,1,1,0,1,0,0000000,18,11,18,19,99,99,0,0,0,1,1
37,370310,1,1,0,0,0,2,2,163,0,27,4,2013,7,19,17,0,3,3,SR-1823,SR-1746,0,35.11595278,-78.34439722,0,34,0,0,3,3,0,4,5,1,0,1,0,0000000,19,7,19,18,88,88,0,0,0,1,1
37,370320,1,1,0,0,0,1,1,17,0,27,4,2013,7,22,46,0,4,3,SR-211,BALDWIN-ELKINS,0,34.47102222,-78.62318611,0,34,0,0,1,1,0,4,2,1,0,1,0,0000000,22,39,22,54,88,88,0,0,0,1,1
37,370334,1,1,0,1,1,1,1,131,0,27,4,2013,7,20,52,0,4,3,SR-35,,0,36.339275,-77.21657222,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,20,47,20,58,21,28,0,0,0,1,0
