STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
6,California,60688,1,1,0,0,1,1,0,73,0,27,27,4,April,2015,2,Monday,19,7:00pm-7:59pm,35,35,0,This section IS NOT on the NHS,6,Local Street - Municipality,CR-CAMINO DEL REY,,2,Urban,3,Principal Arterial - Other,98,Not Reported,0,None,33.29035833,33.29035833,-117.2143222,-117.21432222,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
6,California,60883,2,1,1,0,1,1,0,59,1660,27,27,4,April,2015,2,Monday,22,10:00pm-10:59pm,12,12,0,This section IS NOT on the NHS,6,Local Street - Municipality,MONTCLAIR LN,,2,Urban,7,Local,98,Not Reported,0,None,33.71812222,33.71812222,-117.9840389,-117.98403889,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,8,Driveway Access Related,1,Not an Intersection,0,None,4,On Roadside,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,60900,2,2,0,0,2,2,0,37,1980,27,27,4,April,2015,2,Monday,23,11:00pm-11:59pm,5,5,0,This section IS NOT on the NHS,6,Local Street - Municipality,SHERMAN WAY,WOODMAN AVE,2,Urban,3,Principal Arterial - Other,98,Not Reported,0,None,34.20118056,34.20118056,-118.4312333,-118.43123333,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,62435,1,1,0,0,2,2,0,95,0,27,27,4,April,2015,2,Monday,21,9:00pm-9:59pm,39,39,0,This section IS NOT on the NHS,4,County Road,CR-FOX RD,,1,Rural,7,Local,98,Not Reported,0,None,38.38506111,38.38506111,-121.8780306,-121.87803056,0,No Special Jurisdiction,10,Railway Vehicle,0,Not a Collision with Motor Vehicle In-Transport,0,No,6,Railway Grade Crossing,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,9999999,Unknown,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
12,Florida,120690,3,3,0,0,4,4,0,86,0,27,27,4,April,2015,2,Monday,22,10:00pm-10:59pm,29,29,0,This section IS NOT on the NHS,6,Local Street - Municipality,NW 95TH ST,NW 22ND AVE,2,Urban,7,Local,25,Other Local Agency,99998,Not Reported,25.86095833,25.86095833,-80.234175,-80.234175,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
13,Georgia,130408,1,1,0,1,1,1,1,121,280,27,27,4,April,2015,2,Monday,23,11:00pm-11:59pm,21,21,1,This section IS ON the NHS,3,State Highway,SR-154,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,240,240,33.69058611,33.69058611,-84.51138333,-84.51138333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,21,21,23,11:00pm-11:59pm,28,28,23,11:00pm-11:59pm,51,51,0,None,0,None,0,None,1,0
18,Indiana,180194,1,1,0,0,1,1,0,23,4250,27,27,4,April,2015,2,Monday,20,8:00pm-8:59pm,27,27,0,This section IS NOT on the NHS,2,U.S. Highway,US- 421,,1,Rural,4,Minor Arterial,1,State Highway Agency,0,None,40.40689722,40.40689722,-86.59244722,-86.59244722,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
18,Indiana,180207,1,1,0,0,1,1,0,21,460,27,27,4,April,2015,2,Monday,17,5:00pm-5:59pm,50,50,1,This section IS ON the NHS,1,Interstate,I-70,,1,Rural,1,Interstate,1,State Highway Agency,220,220,39.44976111,39.44976111,-87.11268056,-87.11268056,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
19,Iowa,190070,2,2,0,0,2,2,0,45,1630,27,27,4,April,2015,2,Monday,17,5:00pm-5:59pm,0,0,0,This section IS NOT on the NHS,6,Local Street - Municipality,MANUFACTURING DR,S 18TH ST,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,41.83101389,41.83101389,-90.22856944,-90.22856944,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,6,6,17,5:00pm-5:59pm,9,9,17,5:00pm-5:59pm,31,31,0,None,0,None,0,None,1,0
22,Louisiana,220190,2,2,0,1,2,2,1,105,1645,27,27,4,April,2015,2,Monday,22,10:00pm-10:59pm,50,50,0,This section IS NOT on the NHS,2,U.S. Highway,US-51,,2,Urban,4,Minor Arterial,1,State Highway Agency,371,371,30.55021944,30.55021944,-90.48271111,-90.48271111,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
22,Louisiana,220263,1,1,0,0,2,2,0,105,980,27,27,4,April,2015,2,Monday,23,11:00pm-11:59pm,3,3,0,This section IS NOT on the NHS,4,County Road,CR-LEES LANDING RD,,1,Rural,7,Local,2,County Highway Agency,0,None,30.40395,30.40395,-90.32402222,-90.32402222,0,No Special Jurisdiction,3,Immersion or Partial Immersion,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Outside Trafficway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,5,5,23,11:00pm-11:59pm,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
24,Maryland,240478,1,1,0,1,1,1,1,510,50,27,27,4,April,2015,2,Monday,16,4:00pm-4:59pm,46,46,0,This section IS NOT on the NHS,6,Local Street - Municipality,MU-1370,MU-1410,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,13,13,39.29870556,39.29870556,-76.58509167,-76.58509167,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
26,Michigan,260174,1,1,0,0,1,1,0,159,0,27,27,4,April,2015,2,Monday,19,7:00pm-7:59pm,35,35,0,This section IS NOT on the NHS,4,County Road,CR-39TH ST,,1,Rural,7,Local,98,Not Reported,36,36,42.17309167,42.17309167,-85.92660556,-85.92660556,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,36,36,19,7:00pm-7:59pm,41,41,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
29,Missouri,290206,1,1,0,0,1,1,0,183,0,27,27,4,April,2015,2,Monday,18,6:00pm-6:59pm,55,55,0,This section IS NOT on the NHS,3,State Highway,SR-94,,1,Rural,4,Minor Arterial,1,State Highway Agency,60,60,38.58205556,38.58205556,-90.84175,-90.84175,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
32,Nevada,320073,1,1,0,0,1,1,0,31,0,27,27,4,April,2015,2,Monday,19,7:00pm-7:59pm,46,46,1,This section IS ON the NHS,1,Interstate,I-80,,2,Urban,1,Interstate,1,State Highway Agency,130,130,39.53391667,39.53391667,-119.8193778,-119.81937778,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,46,46,19,7:00pm-7:59pm,53,53,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
34,New Jersey,340245,1,1,0,1,2,2,1,29,1801,27,27,4,April,2015,2,Monday,20,8:00pm-8:59pm,31,31,1,This section IS ON the NHS,3,State Highway,SR-37,COMMONWEALTH BLVD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,17,17,39.99630278,39.99630278,-74.27940833,-74.27940833,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,35,35,20,8:00pm-8:59pm,40,40,20,8:00pm-8:59pm,58,58,0,None,0,None,0,None,1,0
38,North Dakota,380029,1,1,0,0,3,3,0,55,0,27,27,4,April,2015,2,Monday,18,6:00pm-6:59pm,35,35,0,This section IS NOT on the NHS,3,State Highway,SR-37,,1,Rural,4,Minor Arterial,1,State Highway Agency,120,120,47.80371944,47.80371944,-102.1289806,-102.12898056,3,Indian Reservation,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,34,34,19,7:00pm-7:59pm,7,7,20,8:00pm-8:59pm,55,55,0,None,0,None,0,None,1,1
