STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
4,Arizona,40189,1,1,0,0,2,2,0,13,MARICOPA (13),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,18,6:00pm-6:59pm,47,47,1,This section IS ON the NHS,1,Interstate,I-10,,1,Rural,1,Interstate,1,State Highway Agency,861,861,33.52091667,33.52091667,-113.0734222,-113.07342222,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,0,None,4,On Roadside,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,47,47,19,7:00pm-7:59pm,7,7,20,8:00pm-8:59pm,16,16,0,None,0,None,0,None,1,0
6,California,60768,1,1,0,1,3,3,1,37,LOS ANGELES (37),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,35,35,0,This section IS NOT on the NHS,3,State Highway,SR-164,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,38,38,34.03651111,34.03651111,-118.0642028,-118.06420278,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,60796,3,3,0,0,7,7,0,73,SAN DIEGO (73),3260,SAN DIEGO,27,27,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,6,6,1,This section IS ON the NHS,1,Interstate,I-805 NORTHBOUND,,2,Urban,1,Interstate,1,State Highway Agency,173,173,32.76556111,32.76556111,-117.1281,-117.1281,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,19,Recent/Previous Crash scene Nearby,23,Indication of a Stalled/Disabled Vehicle,0,None,1,0
6,California,61043,2,2,0,0,2,2,0,17,EL DORADO (17),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,18,6:00pm-6:59pm,0,0,0,This section IS NOT on the NHS,4,County Road,CR-PLEASANT VALLEY RD,,1,Rural,4,Minor Arterial,2,County Highway Agency,0,None,38.68588056,38.68588056,-120.7783944,-120.77839444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,62367,2,2,0,0,2,2,0,37,LOS ANGELES (37),2870,POMONA,27,27,4,April,2016,4,Wednesday,18,6:00pm-6:59pm,15,15,0,This section IS NOT on the NHS,6,Local Street - Municipality,GAREY AVE,SIXTH ST,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,34.05416389,34.05416389,-117.7499861,-117.74998611,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,63039,2,2,0,0,3,3,0,65,RIVERSIDE (65),2650,PALM SPRINGS,27,27,4,April,2016,4,Wednesday,17,5:00pm-5:59pm,28,28,0,This section IS NOT on the NHS,6,Local Street - Municipality,DINAH SHORE DR,CROSSLEY RD,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,33.80855,33.80855,-116.4842611,-116.48426111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
8,Colorado,80126,1,1,0,0,1,1,0,1,ADAMS (1),2427,THORNTON,27,27,4,April,2016,4,Wednesday,17,5:00pm-5:59pm,45,45,0,This section IS NOT on the NHS,6,Local Street - Municipality,YORK ST,,2,Urban,7,Local,4,City or Municipal Highway Agency,0,None,39.90916667,39.90916667,-104.9587361,-104.95873611,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,45,45,17,5:00pm-5:59pm,52,52,18,6:00pm-6:59pm,17,17,0,None,0,None,0,None,1,1
12,Florida,120817,4,1,3,0,1,1,0,33,ESCAMBIA (33),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,19,7:00pm-7:59pm,27,27,0,This section IS NOT on the NHS,5,Local Street - Township,HOLSBERRY RD,,6,Trafficway Not in State Inventory,96,Trafficway Not in State Inventory,96,Trafficway Not in State Inventory,99998,Not Reported,30.54451111,30.54451111,-87.26638889,-87.26638889,0,No Special Jurisdiction,53,Mail Box,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Outside Trafficway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle",0,None,0,None,1,1
12,Florida,120826,2,2,0,0,2,2,0,83,MARION (83),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,19,7:00pm-7:59pm,25,25,1,This section IS ON the NHS,2,U.S. Highway,US-441 / SR-25,90 ST,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,99998,Not Reported,29.28136944,29.28136944,-82.15203056,-82.15203056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
12,Florida,120859,1,1,0,1,1,1,1,61,INDIAN RIVER (61),0,NOT APPLICABLE,27,27,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,0,0,0,This section IS NOT on the NHS,4,County Road,CR-512,104TH AVE,1,Rural,4,Minor Arterial,25,Other Local Agency,99998,Not Reported,27.76749444,27.76749444,-80.53969722,-80.53969722,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
